"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X120" 9.30561169 7.300209656 11.30415518 10.9907134 10.39794367 10.31722613 8.19078212 6.995573181 6.984996765 9.335381237 6.893852021 14.12589056 7.051115306 7.554797307 8.295185674 13.08210551 7.153132712 7.043685745 7.284365937 7.211187827 7.153849325 6.814424228 6.922841035 7.197836597 9.084636433 6.861735068 5.604841908 11.78466407
"X121" 9.375693441 7.605362233 11.7307078 11.40643029 11.13886025 10.44136399 8.69295644 7.040298947 7.015391736 9.769218703 6.872259589 14.47879386 7.048967418 7.599594741 7.908761449 13.18979595 7.453264828 6.989486845 7.28141902 7.147872875 7.14638067 6.410325864 7.048342058 6.964209183 9.113892163 6.863564304 5.884541095 11.72227168
"X122" 10.04034891 7.293369347 11.53259385 11.08113898 9.239536933 9.462476476 8.797037134 7.083605441 7.078211438 9.295705528 6.862633625 13.85101008 7.156450116 7.565592208 7.147222171 12.99423359 6.752915853 7.149904477 7.331435336 7.286499089 7.141043036 6.690142157 7.04689652 7.00435663 8.818709328 6.868164777 5.699305191 12.32894157
"X123" 7.686982638 7.31283906 11.79781032 11.17320225 11.58974478 10.40979365 7.793893207 6.919337723 7.043608595 8.635857943 6.82277975 13.20704679 7.152998788 7.942420712 7.701126073 12.75867566 6.883121519 7.054242137 7.258669469 7.319303931 7.181559909 6.637464242 6.955496085 7.153979808 8.266485612 7.001893169 5.984482182 11.14924438
"X125" 10.9714498 7.53994982 10.80275008 10.27150583 15.21581574 10.77832075 8.725138566 6.97308352 7.483376696 10.54471207 6.806102767 12.52493126 6.989515336 8.629485632 8.568725279 12.70216334 7.357736589 7.082836989 7.358029664 7.071643096 7.223823496 6.50937948 7.161203343 7.027911246 8.2091877 6.992586121 5.87883988 12.47026247
"X126" 10.59374051 7.081248062 11.2849072 10.90265284 13.45451078 10.48118943 7.204377859 7.040783676 7.285432355 10.19919432 6.861496015 12.72431672 7.08394981 8.46815554 7.809862619 12.89605131 6.97345548 7.11085174 7.171291995 7.156861032 7.368463466 6.586317133 7.198464134 7.056716336 9.068641077 6.984663417 5.91673794 12.40680885
"X127" 7.165619079 7.199546999 11.41401223 10.70725155 8.354610774 9.549716027 7.313983952 6.986340528 7.025984354 8.547760051 6.833083414 12.63045956 7.027635335 7.784113957 7.384250858 12.95591112 6.542834303 7.049877115 7.257414903 7.250030792 7.123903798 6.798881905 7.177140421 7.096344618 8.451248359 7.059906292 5.889854823 10.31534358
"X128" 8.223961196 7.209908827 12.21281083 11.10945598 8.522377672 10.48431222 8.264751737 6.995173752 6.916639072 8.335197028 6.966722896 14.43590147 7.047755121 10.95300248 8.920700137 12.72909554 6.832180806 6.932533023 7.330619085 7.262398707 7.14352623 6.426599322 7.02252946 7.118298537 8.754820831 6.958502817 5.638283298 11.09722314
"X129" 9.264492747 7.267693825 12.99231597 11.29662026 10.82553374 10.90603416 10.46388797 6.976175871 7.010811335 8.091747313 6.73818627 15.60933642 7.057012719 12.27520879 9.819134192 13.12829669 7.621746146 7.060006162 7.467745226 7.286063045 7.257395552 6.502189236 7.119568969 7.043476288 9.228470239 6.920803739 5.630344633 10.39010223
"X130" 8.050286011 7.342592168 11.69444683 11.06427486 10.59576032 10.15695548 7.560119622 7.07501458 7.039600334 8.436875207 6.85011718 13.52514103 7.039321087 8.509164731 7.342226216 12.88707374 6.894352091 7.000821015 7.316228776 7.237526692 7.166994652 6.417941246 7.142072077 7.103841443 8.401354157 6.879741384 5.698818215 11.46155222
"X131" 10.20339947 7.370211405 11.22175178 10.98406024 13.48468173 10.52522291 8.292973735 6.998767095 7.203774318 10.52608664 6.909910008 13.43281763 7.085887457 7.591499468 7.287192527 13.12088932 7.111500307 7.062543418 7.183520342 7.260962863 7.129634024 6.6403688 7.191912519 7.07032859 8.179043783 7.120753161 5.724203841 12.75698293
"X132" 9.679176975 7.535964219 9.961898821 10.0713939 13.40068404 9.9631948 7.523054897 6.968312197 7.193970092 10.89434948 6.897826729 11.7147938 6.931549371 7.276789658 6.985395832 13.34632942 7.535271935 7.088409379 7.295642286 7.165502674 7.17748034 6.776286987 7.145214001 7.129488361 8.197707537 7.097501071 6.159189007 12.98000179
